Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
310000,1.4185373,0.0002999817,12.691292,-38.34334958395468,331.44444444444446,-38.343350174190064
320000,1.4190217,0.00029998113,9.432052,-38.7405711178435,328.52272727272725,-38.74057115885609
330000,1.4191041,0.00029998051,9.292103,-39.020543905953595,279.26666666666665,-39.0205442322832
340000,1.4201989,0.0002999799,9.71016,-39.28005421943054,227.4878048780488,-39.28005396673263
350000,1.4207044,0.00029997932,8.116433,-39.36773623310609,226.0,-39.37345218218656
360000,1.4203881,0.00029997874,7.930882,-39.373896225020104,171.81578947368422,-39.36718543204812
370000,1.4198523,0.00029997813,7.89935,-39.393341374803356,249.18421052631578,-39.39577095140231
380000,1.4201702,0.00029997752,9.441358,-39.326989915222526,257.18367346938777,-39.32651828378555
390000,1.4212775,0.0002999769,9.322042,-39.30340723503841,222.390243902439,-39.303407952281724
400000,1.4222362,0.0002999763,8.597311,-39.360659971729675,213.97674418604652,-39.36065993420942
410000,1.4237865,0.0002999757,7.440215,-39.408068840776224,224.57142857142858,-39.408068600823455
420000,1.4255753,0.00029997513,6.4074445,-39.355189348132505,214.73333333333332,-39.35822016579782
430000,1.4265343,0.0002999745,5.536965,-39.35182655434388,234.8780487804878,-39.34873154108174
440000,1.4273307,0.0002999739,5.4869404,-39.405110147026825,224.2340425531915,-39.405110075015905
450000,1.4284787,0.00029997333,5.310144,-39.374109590747,211.44736842105263,-39.37411025211546
460000,1.4297662,0.0002999727,6.6107435,-39.32120694969126,232.9,-39.32120759960526
470000,1.4305013,0.00029997213,6.1669726,-39.24320233048234,270.1388888888889,-39.2653017451704
480000,1.4311142,0.00029997152,6.8584123,-39.30512691396411,247.18421052631578,-39.283706402156845
490000,1.4316814,0.00029997088,6.024534,-39.24793408345999,287.0487804878049,-39.24793394477669
500000,1.4316878,0.0002999703,6.716078,-39.2634996634046,240.25531914893617,-39.26350098070837
510000,1.4319686,0.0002999697,6.3614273,-39.37278612340544,196.52272727272728,-39.372785845702644
520000,1.432305,0.00029996914,5.69753,-39.368397385246496,218.225,-39.3683977053297
530000,1.4322542,0.0002999685,4.862099,-39.35760861830138,227.11363636363637,-39.351322801545436
540000,1.4325727,0.0002999679,3.9227617,-39.37973240843807,253.15217391304347,-39.38501292431945
550000,1.4327579,0.00029996733,3.882719,-39.436301095397695,204.2439024390244,-39.43630071382447
560000,1.4321845,0.0002999667,4.2708626,-39.34861212842935,226.53488372093022,-39.348611546367636
570000,1.4323419,0.0002999661,4.1198497,-39.296303975512274,240.47826086956522,-39.29630381461048
580000,1.4330221,0.0002999655,3.4218764,-39.27800760025077,234.61363636363637,-39.27800753701542
590000,1.433663,0.00029996492,2.9508665,-39.27185655927531,241.97297297297297,-39.27185649623641
600000,1.4339594,0.0002999643,2.3637946,-39.32799921240406,213.02272727272728,-39.32799900877978
610000,1.433511,0.00029996372,2.1137688,-39.217932226601356,244.30434782608697,-39.21793181746666
620000,1.4341544,0.00029996308,1.7676872,-39.354012108145334,212.4,-39.35401339113402
630000,1.434913,0.0002999625,1.0460876,-39.35011265844603,220.85714285714286,-39.3501127197975
640000,1.435613,0.00029996192,1.4745715,-39.310990321460515,187.75,-39.30860544098162
650000,1.4367201,0.00029996128,1.5435528,-39.33961465736042,248.97368421052633,-39.341510890518876
660000,1.436508,0.00029996072,2.1720116,-39.31722181588305,239.0909090909091,-39.33651804048625
670000,1.4369013,0.0002999601,2.5637133,-39.278219197913366,226.7741935483871,-39.25839297130519
680000,1.4369982,0.00029995947,2.4837701,-39.32118115372206,226.0,-39.32118165518752
690000,1.438306,0.0002999589,1.7544018,-39.155781265231084,258.73809523809524,-39.155781663516315
700000,1.4391296,0.00029995834,1.7678511,-39.32461510581474,250.5,-39.324615194793466
710000,1.4397217,0.00029995773,1.5698942,-39.35959252229599,227.5897435897436,-39.3595918216847
720000,1.4409754,0.00029995712,1.2494748,-39.272971378937825,229.95348837209303,-39.27297133630342
730000,1.4418277,0.00029995653,1.1253812,-39.36660258512202,203.375,-39.36660329207225
740000,1.4426011,0.0002999559,0.8882568,-39.29550769065723,258.6530612244898,-39.29550769998768
750000,1.4433417,0.0002999553,0.6114485,-39.34554313082481,212.65116279069767,-39.34554296311703
760000,1.4444783,0.00029995473,0.34273162,-39.369816772188315,224.46666666666667,-39.369817432772834
