Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
500000,-12.942032,8.551237,0.025016742,1.4079357,0.0002999703,2.6433332742502293,260.45238095238096,2.6433330370734134
510000,-11.941488,9.5663805,0.029320652,1.4079232,0.00029996972,2.617419296334828,257.96774193548384,2.617419065246659
520000,-10.569321,10.007947,0.023699204,1.4079356,0.00029996916,2.687209242261773,264.7906976744186,2.6947615962652933
530000,-9.223164,4.6162076,0.026683033,1.4079156,0.0002999685,2.577441802854801,254.11627906976744,2.5727269859476523
540000,-7.7581763,5.354854,0.024237463,1.407813,0.0002999679,2.760416604966546,272.1666666666667,2.7604163540527225
550000,-7.174326,3.0914397,0.026224699,1.4079605,0.00029996733,3.2003124284674414,315.375,3.2003121371380985
560000,-5.8365326,1.8101612,0.030136446,1.4075972,0.0002999667,3.574230689340486,352.2307692307692,3.574230368034198
570000,-5.4105105,1.8666927,0.028671367,1.4065633,0.0002999661,3.491922998872514,344.11538461538464,3.491922687380933
580000,-4.6636977,1.9077157,0.030289022,1.4063022,0.00029996553,3.40749992383644,335.77777777777777,3.407499618621336
590000,-3.8590577,0.97390014,0.02420919,1.4068896,0.00029996494,3.2242306971635957,317.7307692307692,3.2242304069491534
600000,-3.6486073,1.4053789,0.025920687,1.4078032,0.00029996433,3.223684138471359,317.6842105263158,3.223683845889019
610000,-3.44151,1.1240185,0.02232435,1.4083672,0.00029996375,2.7779486558567257,273.8205128205128,2.777948405784674
620000,-2.9720092,1.0634865,0.02641936,1.4077767,0.0002999631,2.7409374387352727,270.03125,2.7409371958929114
630000,-2.6554887,0.87874866,0.026887782,1.4076598,0.0002999625,2.7965853033451045,275.4878048780488,2.7965850518880093
640000,-1.9015415,0.6213617,0.029966777,1.4077183,0.00029996195,2.6282352353720104,259.0,2.6282349967342964
650000,-0.7679438,0.2680008,0.030274464,1.4064484,0.0002999613,2.6065853075919354,257.0243902439024,2.606585075306456
