Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
710000,1.4350098,8.84659e-05,2.0705843,2.9545674396213144,195.77142857142857,2.954567454588999
720000,1.4350327,8.550492e-05,1.7384607,3.1613312252855392,256.8,3.1613312371447684
730000,1.4350605,8.2513405e-05,1.862125,3.309784826905413,205.51923076923077,3.3036343461146815
740000,1.4354081,7.948754e-05,2.060227,2.620559605248716,213.52380952380952,2.6438828885262877
750000,1.4356674,7.6515185e-05,2.5603878,2.8674743998771866,197.28205128205127,2.8674744232408464
760000,1.4357116,7.3541516e-05,2.266322,3.3945044670455937,229.14285714285714,3.394504498581079
770000,1.435597,7.051586e-05,2.250593,3.284967659505734,219.10416666666666,3.2849676554760663
780000,1.4357703,6.7509354e-05,1.6799985,2.4399519488377135,192.11111111111111,2.445193320383177
790000,1.4361583,6.452667e-05,1.2162067,2.730569157434408,189.64705882352942,2.7196382021289676
800000,1.436247,6.151536e-05,1.0917175,2.9812824898095722,200.91304347826087,2.9988620416261256
810000,1.4362466,5.8510024e-05,1.020559,3.3856774303421844,187.16071428571428,3.3523027488322517
820000,1.436439,5.5457323e-05,0.8703092,3.5712450804442843,182.27272727272728,3.5712451096497135
830000,1.4366069,5.253701e-05,0.7281883,3.1841113273216903,180.49056603773585,3.184111314162366
840000,1.4366647,4.9542876e-05,1.187793,3.212871408810712,167.70909090909092,3.212871414268474
850000,1.4367661,4.652879e-05,1.3924614,2.8899599889882666,188.1875,2.8899599745539795
860000,1.4369128,4.3532607e-05,1.1569177,3.3215698650038696,214.77358490566039,3.2486205263233456
870000,1.4369997,4.0537972e-05,1.521065,2.867700873423283,176.14545454545456,2.943544345169877
880000,1.4369688,3.7492e-05,1.3886317,2.7511837969747526,171.96296296296296,2.751183786632114
890000,1.4369093,3.4506484e-05,1.0956533,3.12983374810894,181.68,3.1420025646838607
900000,1.4369295,3.152607e-05,0.60819227,2.9888882973213113,204.33333333333334,2.9801320275157477
